RIAccount,Account,Subaccount,Lawson Account
2248,976900,18011,976900-18011
2254,976900,18011,976900-18011
2260,976900,18011,976900-18011
2269,976900,18011,976900-18011
2275,976900,18011,976900-18011
2281,976900,18011,976900-18011
13,976900,18011,976900-18011
17,976900,18011,976900-18011
1387,976900,18011,976900-18011
1391,976900,18011,976900-18011
2238,976900,18011,976900-18011
2240,976900,18011,976900-18011
1759,976900,18011,976900-18011
1763,976900,18011,976900-18011
1767,976900,18011,976900-18011
1774,976900,18011,976900-18011
1778,976900,18011,976900-18011
1782,976900,18011,976900-18011
2249,976900,18011,976900-18011
2255,976900,18011,976900-18011
2261,976900,18011,976900-18011
2270,976900,18011,976900-18011
2276,976900,18011,976900-18011
2282,976900,18011,976900-18011
158,976900,18032,976900-18032
159,976900,18032,976900-18032
968,976900,18032,976900-18032
969,976900,18032,976900-18032
1277,976900,18032,976900-18032
1817,976900,18021,976900-18021
2322,976900,18021,976900-18021
1787,976900,18011,976900-18011
1790,976900,18011,976900-18011
1791,976900,18011,976900-18011
1794,976900,18011,976900-18011
1795,976900,18011,976900-18011
1798,976900,18011,976900-18011
2289,976900,18011,976900-18011
2292,976900,18011,976900-18011
2295,976900,18011,976900-18011
2298,976900,18011,976900-18011
2301,976900,18011,976900-18011
2304,976900,18011,976900-18011
26,976900,18011,976900-18011
27,976900,18011,976900-18011
1396,976900,18011,976900-18011
1397,976900,18011,976900-18011
1726,976900,18012,976900-18012
1727,976900,18012,976900-18012
30,976900,18011,976900-18011
31,976900,18011,976900-18011
1128,976900,18011,976900-18011
1722,976900,18011,976900-18011
1723,976900,18011,976900-18011
1728,976900,18013,976900-18013
1757,976900,18011,976900-18011
1760,976900,18011,976900-18011
1761,976900,18011,976900-18011
1764,976900,18011,976900-18011
1765,976900,18011,976900-18011
1768,976900,18011,976900-18011
2247,976900,18011,976900-18011
2250,976900,18011,976900-18011
2253,976900,18011,976900-18011
2256,976900,18011,976900-18011
2259,976900,18011,976900-18011
2262,976900,18011,976900-18011
14,976900,18011,976900-18011
15,976900,18011,976900-18011
1388,976900,18011,976900-18011
1389,976900,18011,976900-18011
9,976900,18011,976900-18011
1123,976900,18011,976900-18011
1713,976900,18011,976900-18011
1804,976900,18012,976900-18012
2312,976900,18012,976900-18012
1803,976900,18012,976900-18012
2311,976900,18012,976900-18012
2316,976900,18013,976900-18013
1808,976900,18013,976900-18013
1751,976900,18011,976900-18011
1755,976900,18011,976900-18011
1825,976900,18011,976900-18011
1833,976900,18011,976900-18011
2235,976900,18011,976900-18011
2245,976900,18011,976900-18011
2328,976900,18011,976900-18011
2334,976900,18011,976900-18011
1816,976900,18021,976900-18021
1824,976900,18021,976900-18021
2321,976900,18021,976900-18021
2327,976900,18021,976900-18021
1750,976900,18011,976900-18011
1754,976900,18011,976900-18011
2234,976900,18011,976900-18011
2244,976900,18011,976900-18011
6,976900,18011,976900-18011
1712,976900,18011,976900-18011
1802,976900,18012,976900-18012
1806,976900,18012,976900-18012
2310,976900,18012,976900-18012
2314,976900,18012,976900-18012
1801,976900,18012,976900-18012
1805,976900,18012,976900-18012
2309,976900,18012,976900-18012
2313,976900,18012,976900-18012
1807,976900,18013,976900-18013
1815,976900,18013,976900-18013
2315,976900,18013,976900-18013
2320,976900,18013,976900-18013
1772,976900,18011,976900-18011
1775,976900,18011,976900-18011
1776,976900,18011,976900-18011
1779,976900,18011,976900-18011
1780,976900,18011,976900-18011
1783,976900,18011,976900-18011
2268,976900,18011,976900-18011
2271,976900,18011,976900-18011
2274,976900,18011,976900-18011
2277,976900,18011,976900-18011
2280,976900,18011,976900-18011
2283,976900,18011,976900-18011
